BV1afub6ZEgh | 服部平次 | 2026-08-07 | 播3138 | 【自由魂】看勇哥餐饮《彝族宝爸带五娃创业》，觉得勇哥预约太慢，赌运气开砂锅店，刚开业3天就怀疑人生！~ || 自由魂儿儿儿 B站：https://space.bilibili.com/1282271864 直播间：https://live.bilibili.com/23459804 勇哥餐饮原创 B站：https://space.bilibili.com/3546801669933097 直播间：https
BV1frgG6FEaf | 圈圈餐饮转圈圈 | 2026-08-12 | 播53597 | 突发！豆包公司给勇哥紧急来电！花几千元就能让大家先搜到勇哥? || -
BV1DSUbBHEEz | 宿傩剪辑 | 2025-11-26 | 播9378 | 100万开奶茶大厦？7层楼包含奶茶棋牌零食，员工爽了老板亏了 #勇哥餐饮 #奶茶大厦 #长治 #创业 || -
BV1kZgP6LEQQ | 世间百态记录者 | 2026-08-14 | 播1697 | 又有切片man连麦勇哥！开店翻车了？但"我有一个朋友"？ || 8月14日下午第一位
BV1AAuv6hELJ | 勇哥餐饮避坑指南 | 2026-08-11 | 播411255 | 百万奶茶大厦返场！仙女谎话连篇 被勇哥当场拆穿斥责！ @勇哥餐饮原创 || 地点：山西长治
BV1qbgP6KEtc | 非正式会谈男粉 | 2026-08-14 | 播632 | 突发：勇哥餐饮天天帮人维权，自己押金没退回！ || -
BV1GZub6bEcQ | 爱炸毛的小煤球 | 2026-08-07 | 播43554 | 上午才得知大卫要真实勇哥！要和勇哥拼命！下午事情又反转了？ || 时间：2026.8.7 地点：湖南长沙
BV1i6QbBgED7 | 小白餐饮创业说 | 2026-04-14 | 播1566 | 投资百万农村买地建房做餐饮，荒山野岭周边空无一人，勇哥：你该做个勇哥大厦来收门票赚钱… || 直播时间：2026年4月
BV1HygE6HEXT | 勇哥餐饮說 | 2026-08-13 | 播33127 | 见到豆包设计的招牌 勇哥一声长叹 说出3个大字 || 日期 :8.12日 地点:江西赣州
BV1BQKG6mEPN | 萨卡傻鱼蛋 | 2026-07-16 | 播5045 | 力竭了 || -
BV1o2gG6dE8m | 就录录桑 | 2026-08-12 | 播12012 | 七仙女百万奶茶大厦8.11日完整录播带弹幕，被勇哥骂后首次开播，直播依旧编造数据糊弄观众，直言勇哥说话容易得罪人 || 
BV1eqFHzqEEr | 收藏夹Q | 2026-02-07 | 播231566 | 两江总督五孩宝妈续集，背刺勇哥，直播间破口大骂 || -
BV1GK3U6XEpF | 蜜桃儿梅 | 2026-08-01 | 播1218 | 真的力竭了 || -
BV1Tzuq6yEHw | 跟着勇哥看世界 | 2026-08-11 | 播27969 | 花38万加盟早餐店，本以为是九江知府，没想到是两江总督，勇哥直接笑出声 || 
BV12dd6BaEUS | 就录录桑 | 2026-04-20 | 播136953 | 让勇哥道歉的女仆咖啡店4.20日后续，发视频直言自己抑郁症要退网，再次回应自己单干且不需要外地流量，让勇哥跟自己朋友道歉，而不是跟二次元圈子道歉 || 
BV1Dx3e6kEbH | 爱炸毛的小煤球 | 2026-07-28 | 播250701 | 勇哥霸气回应1块9套餐起诉！ || 时间：2026.7.28 地点：四川成都
BV1tf7c6YErH | 勇哥餐饮避坑指南 | 2026-06-22 | 播891845 | 南通最牛烤鱼后续，这破天的流量彻底爆了！老板娘感谢勇哥粉丝的大力支持！@勇哥餐饮原创 || -
BV1a9556YEWv | 勇哥不扯废话 | 2026-05-13 | 播23954 | 勇哥连麦的残疾师傅张狮虎，亲手亮出独门拌烤鸭，励志故事很感人 || 
BV1AGut63Ejj | 朝日阳光ABC | 2026-08-07 | 播1426 | 【勇哥创业开店】(8.7 上午场）《民小灶现炒餐厅+湘欢喜老长沙口味菜+芒市傣味菜+云谣星酸汤牛肉火锅+新开酒肆》勇哥餐饮开店创业在线点评指导！ || 勇哥餐饮创业指导：开店摆摊，大师级教科书，直播连麦手把手创业指导！餐饮行业开店宝典不踩坑  【勇哥创业开店】(8.7 上午场）《民小灶现炒餐厅+湘欢喜老长沙口味菜+芒市傣味菜+云谣星酸汤牛肉火锅+新开酒肆》勇哥餐饮开店创业在线点评指导！
BV1j6aqzYEmG | 小白餐饮创业说 | 2025-09-16 | 播31178 | 西安未央区柜姐因为工作太累想做餐饮，选址在城边偏僻小学背面商圈社区商圈，但是又想轻松不想味道大，所以想搞料理包直接加热卖赚钱，勇哥建议找个好人家嫁了去享福… || -
